Date,Title,Sentiment
2011-01-01,"arnold weiss dies at 86; helped to find hitler’s will ruth park, australian realist author, dies at 93 europe’s young grow agitated over future prospects fatal bomb hits a church in egypt top iran prosecutor vows to charge opposition leaders mali tackles al qaeda and drug traffic prosecutor confirms accusation against sudan leader russian plane catches fire, killing three benedict announces meeting of faiths belarus ejects european watchdog agency",negative
2011-01-02,"japan keeps a high wall for foreign labor major party walks out of coalition in pakistan israeli troops kill palestinian man in west bank egypt orders tighter security after church bombing several warnings, then a soldier’s lonely death",negative
2011-01-03,"israel: strike delays russian visit hungary faces criticism over corporate tax coalition partner becomes liability for merkel government timescast | january 3, 2011 iran may drop stoning sentence judges set to rule on afghan election complaints within 2 weeks 2 americans die in iraq; local forces are attacked babylon’s processional way – then and now arrests in russia signal divisions over dissent anti-kremlin leader jailed in russia",negative
2011-01-04,"israeli military officials challenge account of palestinian woman’s death after a court ruling, turkey frees 23 suspected militants timescast | january 4, 2011 pakistan was deadliest for reporters last year ivory coast leader softens position in crisis sudan’s leader reaches out ahead of a vote assassination deepens pakistan crisis kurdish rebels in northern iraq iran invites some nations, not u.s., for nuclear tour new year brings worries for muslim women",negative
2011-01-05,with the p.k.k. in iraq’s qandil mountains ivory coast leader’s rival remains under blockade floodwaters nearing peak in australia french tv journalist accused of plagiarism poland supports belarus opposition exhibitor of bodies intends to contribute his own a bloated u.n. bureaucracy causes bewilderment slain pakistan governor is mourned morocco says it foiled terror cell in sahara an interview with alassane ouattara,negative
2011-01-06,"sadrists project confidence in iraq blast awakens egyptians to threat from religious strife sufism under attack in pakistan hungarian leader takes on foreign critics protesters and police clash in bangkok u.s. protests assault on envoy in vietnam more than 1,000 extra marines to be deployed in afghanistan it’s iraq but it’s not, part 1 german foreign minister defends governing coalition russians react badly to u.s. criticism on protests",negative
2011-01-07,"it’s iraq but it’s not, part 2 israeli soldiers kill palestinian, 65, in his bedroom after cleric’s return to iraq, followers yearn for a sighting after blast in egypt, many deride their church as too timid low profile of an heir reinforces a mystery the squeeze on britain's middle class pakistani government salvages coalition, but at a steep price britain raises terror alert level taliban suicide bomber kills police official germans fear dioxin has contaminated small farms",negative
2011-01-08,"2 french hostages are found dead in niger jiri dienstbier, czech dissident, is dead at 73 mali city rankled by rules for life in spotlight new tensions in a world heritage site southern sudan feels freedom close at hand returning home in sudan for a historic vote bodies found beheaded in assaults in acapulco officials optimistic about sudan vote u.s. subpoenas twitter over wikileaks supporters iraqi cleric embraces state in comeback speech",negative
2011-01-09,"israeli demolition begins in east jerusalem project afghans strained by shortages as iran tightens flow of fuel the great mosque of djenné china suspends official after lead fumes sicken children deadly clashes with police in tunisia a look at southern sudan southern sudanese, in a jubilant mood, begin to vote on secession u.s. will counter chinese arms buildup smartphones lure sticky fingers in paris",negative
2011-01-10,pictures of the day: washington and elsewhere pakistan faces a divide of age on muslim law gazan reported killed by israeli forces iran sentences human rights lawyer to 11 years in jail an ex-soldier writes nato airstrike kills 3 police officers in afghanistan pope benedict urges pakistan to repeal blasphemy law pakistani assassin says he acted alone north korea asks south for dialogue the risks of e.u. arms in china,negative
2011-01-11,"iraq and kuwait remain at odds after shootout belarus opposition lobbies e.u. to adopt new strategy christian is killed in shooting on train in egypt 2 arrested as spain and france move against eta flooding threatens brisbane more votes, and more deaths, in southern sudan taking off the armor test of stealth fighter clouds gates visit to china biden assures karzai of aid from u.s. beyond 2014 in realm of religion, women lose out",negative
2011-01-12,"test unrelated to gates visit, china says a rescue, under fire china, in a shift, takes on its alzheimer’s problem rapid increase of diabetes strains middle east’s health agencies yemen and turkey deepen ties with new accords ‘hero of ukraine’ prize to wartime partisan leader is revoked a year at war: updates, and a new voice f1 goes high definition belarus intensifies efforts against former candidate suicide bomber strikes in northwest pakistan",negative
2011-01-13,"life sentence for chinese driver for evading tolls vantage point: saving a marine's eyes for hezbollah, claiming victory could be costly mobs in ivory coast attack united nations vehicles acid-filled tanker capsizes in germany acid-filled barge sinks in rhine u.n. truck burned in ivory coast in iraq, biden reaffirms deadline for troops’ exit automatic immunity for berlusconi revoked poland objects to russia’s report on fatal air crash",negative
2011-01-14,"britain’s labour party wins by-election australian towns band together for flood cleanup timescast | january 14, 2011 u.s. is not trying to contain china, clinton says berlusconi faces inquiry in prostitution case germany moves to tighten controls over livestock feed joy as tunisian president flees offers lesson to arab leaders transcript of tunisian prime minister’s announcement that he has assumed power chaos in tunisia as president flees vantage point: protecting the eyes that face explosions",negative
2011-01-15,"israeli test on worm called crucial in iran nuclear delay vote on secession in sudan comes to a close stampede near india shrine kills 100 russian’s death inflames ethnic strife cables from american diplomats portray u.s. ambivalence on tunisia a look at abyei 3 u.s. service members killed in iraq roots of bitterness in a region threaten sudan’s future vatican welcomes first anglicans converting under new rules in tunisia, clashes continue as power shifts a second time",negative
2011-01-16,"a former dictator reappears in haiti transforming africa through higher education in sudan, early results strongly lean to secession le pen’s daughter elected to lead his far-right party too little, then too much in australia military backs new leaders in tunisia cleanup after the riots in tunisia baghdad raids on alcohol sellers stir fears melting in andes reveals remains and wreckage tourists mimic polar pioneers, except with planes and blogs",negative
2011-01-17,"a door into top kitchens for french north africans conflict on afghan efforts to tax foreign contractors a new wave of protests in tunisia embedistan: monsters everywhere lebanon delays talks on new government embedistan: outside the wire, off the message self-immolation protests spread across north africa iran says it may drop woman’s stoning sentence duvalier meets with advisers as haiti holds its breath barak’s break with party shakes up israeli politics",negative
2011-01-18,"mexican gang kingpin arrested vatican letter warned bishops on abuse policy medvedev visits west bank, lifting palestinian spirits timescast | january 18, 2011 earthquake shakes pakistan a dress code for russians? priest chides skimpiness is this the last surviving public image of saddam hussein in iraq? piracy reached record level in 2010, monitors say brazil's children of the floods wiretaps of berlusconi’s teenage friend emerge",negative
2011-01-19,"tycoon’s case hurt russia, adviser says aldar foresees 2011 profit thanks to financing plan tracing islamic history through its scripts rising oil prices bring gulf states unexpected gains u.a.e. strives to promote local farm goods at home chinese president receives regal welcome tunisia casts shadow over arab summit meeting european union deputies confront hungarian leader over law on news media cameron seeks vast changes in england’s health service obama pushes hu on rights but stresses ties to china",negative
2011-01-20,"u.s. warning to china sends ripples to the koreas prominent british muslim assails prejudice photos of shot kenyans spur calls for police reform premier defies hezbollah as talks on lebanon fail irish prime minister calls for early elections a year at war: updates and questions blackwater founder said to back mercenaries iran talks set to resume take away celebratory gunfire? from my cold, victorious hand. report says militants in pearl killing still at large",negative
2011-01-21,"west presses karzai on delay in seating parliament for china, relief after a successful trip blair sits before iraq inquiry, this time with regrets france seeks to let icons light up once more protesters say ruling party in tunisia must dissolve a daring rescue chinese leader gets ride on chicago’s big shoulders south sudanese vote overwhelmingly for secession french minister pelted with eggs in gaza france speaks of its resolve in afghanistan after a threat",negative
2011-01-22,"in mideast activism, new tilt away from ideology trying to break logjam, scholar floats an idea for a palestinian map former spy with agenda operates a private c.i.a. nepal takes command of ex-rebels tunisia’s inner workings emerge on twitter karzai agrees to seat new afghan parliament irish prime minister quits as party leader but holds on to his office high price for india’s information law talks on iran’s nuclear program close with no progress zimbabwe: voters may be dead",negative
2011-01-23,"green party quits irish government southern sudan nears a decision on one matter: its new name tunisia shuts down private tv channel egypt links palestinians to attack at church somalia is likely to cut ties to mercenaries, official says israeli panel rules flotilla raid legal china grooming deft politician as next leader six killed in wave of baghdad bombings",negative
2011-01-24,"sarkozy lays out france's goals for g20 u.n. chief too quiet on rights, group says suicide bombing at moscow airport a hezbollah-run lebanon, but no panic in israel timescast | january 24, 2011 tension builds beneath calm after violence in albania chief of tunisian army pledges his support for ‘the revolution’ hezbollah chooses lebanon’s next prime minister an uncharacteristically upbeat general in afghanistan deadly blast at a moscow airport",negative
2011-01-25,"u.s. is gaining in afghanistan, general writes arms treaty takes crucial step forward in russia protesters call for end of mubarak’s rule two lotus teams race it out in court and in the media french railway formally apologizes to holocaust victims dispute over confinement of wikileaks suspect echoes guantánamo chaplain case iraqi refugees in jordan day of anger in egypt timescast | january 25, 2011 some iraqis see symptoms of region’s tumult at home",negative
2011-01-26,"egypt cracks down on protesters britain proposes easing detentions in terror cases bbc, facing budget cuts, will trim world service and lay off 650 ask baghdad bureau: reader q. and a. france replaces envoy to tunisia next premier of lebanon tries to steer own course tadic assails organized crime in balkans 2 men jostle for power in albania rights ruling stops return of refugees to greece warily eyeing egypt, israelis feel like spectators",negative
2011-01-27,"interview with an egyptian blogger chilean judge orders investigation into allende’s death in japan, young face generational roadblocks what they are reading: different accounts of the afghan war egypt’s leader uses old tricks to defy new demands timescast | january 27, 2011 yemenis demand change of government spain to raise retirement age to 67 after bombing, iraqis direct anger at police in a muslim state, fear sends some worship underground",negative
2011-01-28,"violent clashes on the streets of cairo palestinian is shot in head in clash with israeli settlers a u.s.-china odyssey: building a better mouse map iran sees rise of islamic hard-liners brazil to rebuild houses lost in rains egyptian military chiefs cut pentagon visit short ireland, mired in crisis, will dissolve parliament unrest worries credit raters. so does calming it. protests unsettle jordan while most other neighbors stay calm",negative
2011-01-29,"tortured under 'baby doc' egyptians wonder what’s next calling for restraint, pentagon faces test of influence with ally afghans plan to stop recruiting children as police in moscow, a bomber is identified drug bust shows argentina-europe trafficking ties cairo: the morning after judge in britain halts deportation of ugandan afghan family dies in attack on market yearning for respect, arabs find a voice",negative
2011-01-30,"sixth day of protests for many fleeing egypt, a long wait arab elite say monarchies are safe from unrest facing sanctions, belarus frees seven political prisoners, but a dozen remain in jail chinese man who bragged of privilege gets six years mohamed elbaradei speaks reuters video: mubarak talks to army  clinton calls for ‘orderly transition’ in egypt israel shaken as turbulence rocks an ally key european leaders urge restraint in cairo",negative
2011-01-31,"a swede by any other name. in fact, many swedes. in crowd’s euphoria, no clear leadership emerges volunteers work to keep order in chaos of egypt cairo protests: day 7  afghan stoning video rekindles outcry wary of egypt unrest, china censors web lender disputes kabul bank’s losses u.s. and europe move against belarus’s leader seventh day of protests in egypt new cars unveiled for formula one season",negative
