Date,Title,Sentiment
2008-01-02,"pakistan: a view from the d.j. booth elections delayed in pakistan hunger strike in france to protest gene-altered crops u.s. isn't ready to accept pakistan's initial findings saudis confirm detention of blogger mob sets kenya church on fire, killing dozens u.s. isn’t ready to accept pakistan’s initial findings in iowa, 3 candidates, 3 worlds clock ticks down for candidates in iowa opposition parties decry election delay in pakistan",negative
2008-01-03,"pakistan: a view from the d.j. booth iran tells un it will answer all nuclear questions within four weeks huckabee, ignored by christian leaders, has galvanized many evangelicals campaign turns from iowa to new hampshire fatigue factor gives equal time to u.s. presidential candidates everything you wanted to know about caucuses unwilling new frontier for migrants: 3 greek isles egypt permits pilgrims to cross back into gaza congressional crackdown on lobbying is already showing cracks hard-work theme of australia's new leader running out of steam",negative
2008-01-04,"college admissions: a little guidance dakar rally cancellation chaos in kenya education overhaul shakes up german universities iowa results lead dodd and biden to quit race merkel backs proposal to crack down on young offenders in germany call for change shakes up the democratic field with obama's victory, uncertainty in democratic nominating fight thailand: business climate al jazeera no longer nips at saudis",negative
2008-01-05,"turkey again bombs kurdish  rebels in iraq anti-abortion bill imperils italy’s governing coalition daring to believe, blacks savor obama victory rice makes unannounced visit to baghdad rescuing u.s. economy at different speeds bush implores saudis to help lower price of oil proposal to better unite city leaves dresden divided north korea says earlier disclosure was enough bush prods saudi arabia on high oil prices china urged to explain military buildup",negative
2008-01-06,the new red demon of a ferrari in the shadow of kenya's violence kenyan city is gripped by violence romney plays down his chances in south carolina electricity to be cut off to gazans for eight hours a day algeria: islamist terrorism evolution bush visits egypt amid concerns of crackdown japanese offer fails to end whaling standoff brown's guest list backfires with eu leaders 1977 exam opened escape route into china's elite,negative
2008-01-07,"lewis hamilton’s birthday present a general in musharraf's shadow raises u.s. hopes china blocks activist from jail visits by attorneys china's fish farms are cleaner - for now ahmadinejad loses favor with khamenei, iran's top leader president saakashvili says georgia is on way to democracy obama and mccain ride momentum; clinton feels the pressure congo opens talks on ending fighting in eastern region kenya rivals agree to talks repository of nazi records to take holocaust survivors' questions",negative
2008-01-08,"offensive in diyala security council regrets lack of progress in myanmar american held in pakistani jail is gravely ill clinton in a fight for her political life canada: appeal in serial killer case suicide bomber kills key sunni leader  bombarded by rockets, an israeli town reels it's (almost) official: sarkozy to marry bruni major u.s. offensive in iraq is no surprise to insurgents p. k. sethi, 80, inventor of the low-tech limb",negative
2008-01-09,"fear and anger in kenya ethnic koreans killed in fire had left china for a new life momentous win for clinton iran says u.s. faked video of gulf confrontation at gaza’s edge, israelis fear rockets’ whine jean-claude vrinat, owner of famed paris restaurant, is dead at 71 mideast leaders agree to core talks britain: bhutto’s son critical of u.s. kosovo leader promises independence in weeks china bans free plastic shopping bags",negative
2008-01-10,indian car culture launching cars on the internet – and beyond ex-cia aide won't testify on tapes without immunity analyzing the new hampshire surprise consultant questions beijing’s claim of cleaner air new penalties set as bush calls iran a threat to peace poland and czech republic will coordinate negotiations on defense shield sarkozy reverses himself on 35-hour week executions and amputations rise in iran suharto left behind as indonesia moves on,negative
2008-01-11,"afghanistan's police force williams team deal with baugur group many palestinians offer a bleak opinion of bush iran shows its own video of vessels’ encounter in gulf north korea: u.s. suggests a new nuclear deadline annan to help in kenya, group says ex-first lady of france fails to block publication of book sir edmund hillary, 88, a pioneering conquerer of everest bosnia: police take passports of karadzic family u.s. and germany plan to recognize kosovo",negative
