Date,Title,Sentiment
2010-01-01,"somali rebels pledge to send fighters to aid yemen jihad happy new year, for blackwater looking forward, looking back why a rush to pius xii sainthood? standoff in iran deepens with new show of force discovery of melamine-tainted milk shuts shanghai dairy bomb takes heavy toll at pakistan sports event north korea calls for better u.s. ties making a little fun of russia’s powerful c.i.a. takes on bigger and riskier role on front lines",negative
2010-01-02,"resurrecting local militias dennis brutus dies at 85; fought apartheid with sports for shanghai fair, famous fund-raiser delivers rival islamists fight for town in somalia yemen’s chaos aids the evolution of a qaeda cell u.s. sees an opportunity to press iran on nuclear fuel cartoonist in denmark calls attack ‘really close’ many karzai afghan cabinet choices are rejected iran gives west one-month ‘ultimatum’ to accept nuclear counterproposal afghans answering the call to fight",negative
2010-01-03,"environmental refugees unable to return home iraq says deal is near on the last of 5 hostages large oil spill reported in china threats led to embassy closings in yemen, officials say corrections",negative
2010-01-04,"turning up the pressure on iran iran professors ask for end to violence britain informed u.s. about nigerian, official says attacker in afghanistan was a double agent standoff builds over afghan cabinet dissident chinese writer appeals sentence kenya seeks to deport muslim cleric to jamaica still waiting for a brave new europe 4 americans and briton killed in afghanistan leader of junta confirms myanmar is planning 2010 elections",negative
2010-01-05,"slow start for military corps in afghanistan bulgarian journalist gunned down in sofia ‘countries of interest’ — a pakistani perspective a family tree uprooted by a 60-year-old secret bishop yao liang, 87, imprisoned in china for loyalty to the vatican, dies suspect in deaths of 5 g.i.’s is freed, iraqi official says russian parliament weighs stiffer penalties for protesters u.s. reopens its embassy after raids in yemen briatore and symonds win their case against f.i.a. malaysian polygamy club draws criticism",negative
2010-01-06,steady drip of leaks corrodes the core of the iranian regime brown faces leadership challenge iranian panel calls official in charge of prison ‘the main culprit’ in detainee deaths gunfire at gaza protest near egypt heavy snow causes disruptions in britain suicide bomber strikes at police officers in caucasus drone strikes reported in pakistan gaza activists clash with police iraq in the future perfect tense hirohisa fujii steps down,negative
2010-01-07,the twisted trail of the khost bomber china turns drug rehab into a punishing ordeal sudan clashes seen as threat to peace treaty egyptian christians clash with police an embattled zardari hits back iran accuses five of warring against god 6 cited in honduran leader’s ouster kenya deports muslim cleric said to be linked to terrorists attack leaves 10 dead in southeast afghanistan violent clashes in kashmir,negative
2010-01-08,"e.u. leaders call for sanctions against reform busters france to begin test of body scanners anger over move to bar sunni from iraq elections shots fired at iran opposition leader’s car, son says malaysian church firebombed blast in karachi militant hideout churches attacked in malaysian ‘allah’ dispute who is winning the terror war? the making of the military’s standard arms ammunition explodes at a house in pakistan, killing 7",negative
2010-01-09,"father of c.i.a. attacker speaks government is in peril as scandal rocks ulster new afghan cabinet picks still generate resistance neighbors challenge energy aims in bolivia video links taliban in pakistan to c.i.a. attack chávez devalues currency amid oil fall france: imam deported to egypt u.s. has few resources to face threats in yemen white house aides said to chafe at slow pace of afghan surge across divide in iraq, a sunni courts shiites",negative
2010-01-10,"obama plays down military role in yemen panel ties ally of iran leader to protester deaths yemen’s president says government is willing to talk to disarmed qaeda fighters churches attacked amid furor in malaysia british journalist and american marine die in afghan bomb explosion philippines gun ban starts ahead of vote paradox of plenty freya von moltke, part of a core of nazi resistance, is dead at 98 bomb goes off near greek parliament building corrections",negative
2010-01-11,"new film may sway brazil’s vote on president clinton, starting trip, acknowledges possible tensions with china amid scandals, northern ireland’s leader takes a leave nominee for e.u. foreign affairs chief is cautious at confirmation hearing europe, in grip of low temperatures, faces flaring tempers and disrupted travel allah – the word to reconcile the koreas, teenagers show a way war’s fury no longer pauses for afghan winter ninth church vandalized in malaysia as tensions rise oil at heart of dispute over iran",negative
2010-01-12,"google, citing attack, threatens to exit china saudi and yemeni forces fight rebels on 2 fronts fierce quake devastates haitian capital mexico holds drug suspect accused of grisly tactics nominee to e.u. aid post gets a grilling protest in nigeria over absent leader iraq says raid uncovered a plot to bomb ministries britain moves to ban islamic group with defense test, china shows displeasure of u.s. iranian nuclear scientist dies in blast",negative
2010-01-13,"coast guard flyover of haiti haiti quake day 3: legacy of disaster in quake aftermath, u.s. suspends deportations to haiti flawed building likely a big element devastation, seen from a ship deaths at hands of militants rise in pakistan haiti quake day 2: devastation haiti earthquake: impact on the u.n. israel and turkey patch up latest rift, over diplomatic slight iraqis on iraq – falluja and tikrit",negative
2010-01-14,the destruction in port-au-prince u.s. embassy staff evacuated from haiti israel raids polygamist compound death toll mounts after haiti quake far-ranging support for google’s china move haiti quake day 3: obama on relief haiti quake day 3: on the ground photographing afghan girls iraq sentences 11 to death in ministry bombings haiti searches for survivors,negative
2010-01-15,"haitians illegally in u.s. given protected status iran warns protesters era of ‘mercy’ is over obama on aid to haiti chinese gay pageant is shut down schumacher completes gp2 test, ready to ‘go for it’ europe sends aid and pledges money for haiti rescuers race clock in haiti senior qaeda figures killed in attack, yemen says haiti quake day 4: slow relief immediately after haiti's earthquake",negative
2010-01-16,"the road to radicalization lonely trek to radicalism for terror suspect iraqi politicians form new secular coalition test for chile’s coalition in presidential election with world watching, rio focuses on security haiti quake day 5: tensions rising a presidential triple plea for haiti fund chinese site criticizes investor for its google support in show of support, clinton goes to haiti crime rises as aid awaits distribution",positive
2010-01-17,"candidate bans worsen iraq’s political turmoil china restores text messaging in xinjiang the good mother, and modern politician pakistan says drone strike kills 15 in germany, a tradition falls, and women rise working mothers in germany hussein aide again given a sentence of death haiti quake day 6: steps toward normalcy responders race to treat victims (nbc) refugee camp swells with injured (nbc)",negative
2010-01-18,"brazen attack in kabul haiti quake day 7: a mass exodus enriched by record ransom, somali pirates free tanker a volunteer sticks with aceh a little too close to the battle in kabul for 9/11 team, haiti brings it all back paving over cambodia's violent past cambodia takes to the roads in building spree haiti quake day 7: aid, by sea bold attacks shake kabul",negative
2010-01-19,"perspectives on haiti's earthquake christian-muslim mayhem in nigeria kills dozens tiny steps toward basic services bulgarian drops candidacy for european commission iraqis on iraq – diyala and kirkuk haiti quake day 8: haiti's first lady le monde appoints first woman as top editor japan stalls as leaders are jolted by old guard china could learn from henry ford u.s. troops patrol haiti, filling a void",negative
2010-01-20,"taliban overhaul image to win allies haiti quake day 9: severe aftershock in shift, u.s. lifts visa curbs on professor merkel defends actions as support fades in germany part of munich airport closed after security scare rossi ‘happy’ with first ferrari test day haiti quake day 9: hospital ship arrives gang brawl inside mexico prison leaves 23 dead britain tightens antiterror measures on air travel calm returns to torn nigerian city; toll unclear",negative
2010-01-21,"rossi completes ferrari test on high, just misses lap record angola moves to make president stronger barred politicians mostly secular, iraqi says diplomatic hand extended: furor may erupt if shaken welcome to ‘the mansion’ u.s. homeland security chief meets europe counterparts poland to deploy u.s. missiles near russia loyalties of those killed in afghan raid remain unclear aid groups focus on haiti’s homeless clinton urges global response to internet attacks",negative
2010-01-22,c.i.a. deaths prompt surge in u.s. drone strikes confusion in the haitian countryside biden to meet iraq leaders amid candidate dispute john burns q. and a. on islamic radicalization boat carrying 124 refugees lands on corsica french groups criticize handling of relief flights comment by china adds to mystery of missing lawyer obstacles to recovery in haiti may prove daunting beyond other disasters local vote could decide japan base issue turkey arrests 120 with suspected qaeda ties,negative
2010-01-23,"in japan, u.s. losing diplomatic ground to china china to seek ‘stability’ in tibet via development cultural riches turn to rubble in haiti quake archbishop killed in quake is buried british man held for fraud in iraq bomb detectors israel poised to challenge a u.n. report on gaza gates sees fallout from troubled ties with pakistan biden says u.s. will appeal blackwater case dismissal two u.s. soldiers are among 17 afghan deaths foot on bomb, marine defies a taliban trap",negative
2010-01-24,"nimble agencies sneak news out of north korea homeless need tents in haiti u.n. seeks to drop some taliban from terror list netanyahu says some settlements to stay in israel left party in germany loses leader, and driving force as haiti’s focus turns to shelter, families press search for missing mayor-elect in okinawan city opposes u.s. base afghanistan postpones parliamentary election by 4 months afghanistan to delay parliament vote more than 150,000 have been buried, haiti says",negative
2010-01-25,a factory sputters back to life in haiti china to move against local lobbyists iran opposition leaders drop demand for new election iraq confirms 'chemical ali' execution saving lives on the u.s.n.s. comfort agreement on effort to help haiti rebuild haiti: stolen tents malaysian court ends ban on book hussein aide ‘chemical’ ali executed in iraq baghdad blasts shatter sense of security in capital,negative
